Statistical profiling result from isolate-0xedfe647d540-v8.log, (113727 ticks, 6288 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.0%    0.0%  LazyCompile: *hypot2 /home/john/Projects/Torn.Space/app.js:3083:16
      3    0.0%    0.0%  LazyCompile: *_unrefTimer net.js:340:52
      3    0.0%    0.0%  LazyCompile: *Socket.packet /home/john/Projects/Torn.Space/node_modules/socket.io/lib/socket.js:220:35
      3    0.0%    0.0%  LazyCompile: *Readable.read _stream_readable.js:382:35
      3    0.0%    0.0%  LazyCompile: *Missile.self.move /home/john/Projects/Torn.Space/app.js:2372:22
      3    0.0%    0.0%  Builtin: ToObject {1}
      3    0.0%    0.0%  Builtin: LoadIC_Uninitialized
      3    0.0%    0.0%  Builtin: JsonStringify
      3    0.0%    0.0%  Builtin: InterpreterPushUndefinedAndArgsThenCall
      3    0.0%    0.0%  Builtin: CloneFastJSArray
      3    0.0%    0.0%  Builtin: CallWithSpread
      3    0.0%    0.0%  Builtin: ArraySingleArgumentConstructor_Holey_DisableAllocationSites
      3    0.0%    0.0%  Builtin: ArrayBufferConstructor
      3    0.0%    0.0%  Builtin: AdaptorWithExitFrame
      3    0.0%    0.0%  Builtin: AdaptorWithBuiltinExitFrame
      2    0.0%    0.0%  Stub: CallApiCallbackStub
      2    0.0%    0.0%  LazyCompile: ~unrefActive internal/timers.js:301:21
      2    0.0%    0.0%  LazyCompile: ~push internal/fixed_queue.js:71:7
      2    0.0%    0.0%  LazyCompile: ~onEnd /home/john/Projects/Torn.Space/node_modules/engine.io/lib/transports/websocket.js:117:18
      2    0.0%    0.0%  LazyCompile: ~mod /home/john/Projects/Torn.Space/app.js:3056:13
      2    0.0%    0.0%  LazyCompile: ~maybeReadMore _stream_readable.js:574:23
      2    0.0%    0.0%  LazyCompile: ~isBuffer buffer.js:420:36
      2    0.0%    0.0%  LazyCompile: ~hasBinary /home/john/Projects/Torn.Space/node_modules/has-binary2/index.js:30:20
      2    0.0%    0.0%  LazyCompile: ~getInfo /home/john/Projects/Torn.Space/node_modules/ws/lib/receiver.js:151:10
      2    0.0%    0.0%  LazyCompile: ~emitAfterScript internal/async_hooks.js:348:25
      2    0.0%    0.0%  LazyCompile: ~debug internal/timers.js:109:15
      2    0.0%    0.0%  LazyCompile: ~dataMessage /home/john/Projects/Torn.Space/node_modules/ws/lib/receiver.js:387:14
      2    0.0%    0.0%  LazyCompile: ~compress /home/john/Projects/Torn.Space/node_modules/ws/lib/permessage-deflate.js:320:11
      2    0.0%    0.0%  LazyCompile: ~chunkInvalid _stream_readable.js:310:22
      2    0.0%    0.0%  LazyCompile: ~append internal/linkedlist.js:29:16
      2    0.0%    0.0%  LazyCompile: ~_deflate.flush /home/john/Projects/Torn.Space/node_modules/ws/lib/permessage-deflate.js:435:44
      2    0.0%    0.0%  LazyCompile: ~ZlibBase.flush zlib.js:324:36
      2    0.0%    0.0%  LazyCompile: ~Transform._read _stream_transform.js:182:37
      2    0.0%    0.0%  LazyCompile: ~TickObject internal/process/task_queues.js:92:14
      2    0.0%    0.0%  LazyCompile: ~Player.self.onChangeSectors /home/john/Projects/Torn.Space/app.js:680:33
      2    0.0%    0.0%  LazyCompile: ~Planet.self.tick /home/john/Projects/Torn.Space/app.js:2015:22
      2    0.0%    0.0%  LazyCompile: ~Module._nodeModulePaths internal/modules/cjs/loader.js:426:37
      2    0.0%    0.0%  LazyCompile: ~Emitter.emit /home/john/Projects/Torn.Space/node_modules/component-emitter/index.js:125:34
      2    0.0%    0.0%  LazyCompile: ~Client.ondecoded /home/john/Projects/Torn.Space/node_modules/socket.io/lib/client.js:207:38
      2    0.0%    0.0%  LazyCompile: ~Bullet.self.die /home/john/Projects/Torn.Space/app.js:1736:21
      2    0.0%    0.0%  LazyCompile: ~Bullet /home/john/Projects/Torn.Space/app.js:1657:22
      2    0.0%    0.0%  LazyCompile: ~Base.self.tick /home/john/Projects/Torn.Space/app.js:2051:22
      2    0.0%    0.0%  LazyCompile: *updateQuestsR /home/john/Projects/Torn.Space/app.js:3116:23
      2    0.0%    0.0%  LazyCompile: *needFinish _stream_writable.js:609:20
      2    0.0%    0.0%  LazyCompile: *fromString buffer.js:325:20
      2    0.0%    0.0%  LazyCompile: *destroyHooksExist internal/async_hooks.js:305:27
      2    0.0%    0.0%  LazyCompile: *clearBuffer _stream_writable.js:500:21
      2    0.0%    0.0%  LazyCompile: *arrayClone events.js:465:20
      2    0.0%    0.0%  LazyCompile: *append internal/linkedlist.js:29:16
      2    0.0%    0.0%  LazyCompile: *afterWrite _stream_writable.js:481:20
      2    0.0%    0.0%  LazyCompile: *afterTransform _stream_transform.js:78:24
      2    0.0%    0.0%  LazyCompile: *_compress /home/john/Projects/Torn.Space/node_modules/ws/lib/permessage-deflate.js:322:33
      2    0.0%    0.0%  LazyCompile: *Transform._read _stream_transform.js:182:37
      2    0.0%    0.0%  LazyCompile: *Socket.flush /home/john/Projects/Torn.Space/node_modules/engine.io/lib/socket.js:416:35
      2    0.0%    0.0%  LazyCompile: *Queue._run /home/john/Projects/Torn.Space/node_modules/async-limiter/index.js:36:32
      2    0.0%    0.0%  Builtin: TypedArrayPrototypeBuffer
      2    0.0%    0.0%  Builtin: TypedArrayInitialize
      2    0.0%    0.0%  Builtin: ParseInt
      2    0.0%    0.0%  Builtin: MathAbs
      2    0.0%    0.0%  Builtin: DateConstructor
      2    0.0%    0.0%  Builtin: ConstructWithSpread {1}
      2    0.0%    0.0%  Builtin: ArrayConstructorImpl
      2    0.0%    0.0%  Builtin: AllocateInNewSpace
      1    0.0%    0.0%  Stub: StoreFastElementStub {3}
      1    0.0%    0.0%  Stub: StoreFastElementStub {2}
      1    0.0%    0.0%  Stub: StoreFastElementStub {1}
      1    0.0%    0.0%  Stub: CallApiCallbackStub {1}
      1    0.0%    0.0%  RegExp: \bdonkeyribber\b
      1    0.0%    0.0%  LazyCompile: ~writeUInt16BE internal/buffer.js:673:23
