Statistical profiling result from isolate-0x2c25004c000-v8.log, (5086 ticks, 69 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  LazyCompile: ~Player.self.checkPlanetCollision /home/john/Projects/Torn.Space/app.js:867:38
      2    0.0%    0.0%  Builtin: TypedArrayPrototypeBuffer
      2    0.0%    0.0%  Builtin: StringAdd_ConvertRight_NotTenured
      2    0.0%    0.0%  Builtin: StringAdd_CheckNone_NotTenured
      2    0.0%    0.0%  Builtin: StoreICTrampoline
      2    0.0%    0.0%  Builtin: ObjectPrototypeToString
      2    0.0%    0.0%  Builtin: InterpreterPushUndefinedAndArgsThenCall
      2    0.0%    0.0%  Builtin: GreaterThan
      2    0.0%    0.0%  Builtin: CreateTypedArray
      2    0.0%    0.0%  Builtin: ConstructFunction
      2    0.0%    0.0%  Builtin: CompileLazy
      2    0.0%    0.0%  Builtin: CallWithArrayLike
      2    0.0%    0.0%  Builtin: ArrayPrototypeSlice
      2    0.0%    0.0%  Builtin: ArrayConstructorImpl
      1    0.0%    0.0%  Stub: JSEntryStub
      1    0.0%    0.0%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      1    0.0%    0.0%  LazyCompile: ~writeUInt16BE internal/buffer.js:673:23
      1    0.0%    0.0%  LazyCompile: ~writeToEngine /home/john/Projects/Torn.Space/node_modules/socket.io/lib/client.js:167:25
      1    0.0%    0.0%  LazyCompile: ~write buffer.js:895:40
      1    0.0%    0.0%  LazyCompile: ~stripShebang internal/modules/cjs/helpers.js:56:22
      1    0.0%    0.0%  LazyCompile: ~socketOnData /home/john/Projects/Torn.Space/node_modules/ws/lib/websocket.js:815:22
      1    0.0%    0.0%  LazyCompile: ~slice buffer.js:1005:40
      1    0.0%    0.0%  LazyCompile: ~sendAllSector /home/john/Projects/Torn.Space/app.js:3094:23
      1    0.0%    0.0%  LazyCompile: ~selectColor /home/john/Projects/Torn.Space/node_modules/engine.io/node_modules/debug/src/debug.js:43:21
      1    0.0%    0.0%  LazyCompile: ~readPackage internal/modules/cjs/loader.js:198:21
      1    0.0%    0.0%  LazyCompile: ~readFileSync fs.js:345:22
      1    0.0%    0.0%  LazyCompile: ~push internal/fixed_queue.js:95:7
      1    0.0%    0.0%  LazyCompile: ~percolateDown internal/priority_queue.js:44:16
      1    0.0%    0.0%  LazyCompile: ~peek internal/linkedlist.js:9:14
      1    0.0%    0.0%  LazyCompile: ~nullCheck internal/fs/utils.js:191:19
      1    0.0%    0.0%  LazyCompile: ~normalizeString path.js:52:25
      1    0.0%    0.0%  LazyCompile: ~newAsyncId internal/async_hooks.js:248:20
      1    0.0%    0.0%  LazyCompile: ~isPosixPathSeparator path.js:42:30
      1    0.0%    0.0%  LazyCompile: ~isEmpty internal/fixed_queue.js:63:10
      1    0.0%    0.0%  LazyCompile: ~isBuffer buffer.js:420:36
      1    0.0%    0.0%  LazyCompile: ~initHooksExist internal/async_hooks.js:297:24
      1    0.0%    0.0%  LazyCompile: ~inflateOnData /home/john/Projects/Torn.Space/node_modules/ws/lib/permessage-deflate.js:479:23
      1    0.0%    0.0%  LazyCompile: ~getInfo /home/john/Projects/Torn.Space/node_modules/ws/lib/receiver.js:151:10
      1    0.0%    0.0%  LazyCompile: ~getData /home/john/Projects/Torn.Space/node_modules/ws/lib/receiver.js:317:10
      1    0.0%    0.0%  LazyCompile: ~getContextOptions vm.js:198:27
